""number"",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B""
6228,-0.294497222149897,-0.763472043858584,-0.600791779310356,0.548559651486221,0.779827619445251,-5.83022850474036
6229,-0.315767905661436,-0.778165666086534,-0.699255858492684,0.485086014218259,0.7353565841309,-5.76993462980917
6230,0.0481815871847148,-0.688223462515336,0.111597981047154,0.91123775523071,0.965204706169211,-5.9945531090036
6231,0.240479729893813,-0.517483815998863,0.584040380031063,0.559755238510253,0.787475149439,-5.83958017372928
6232,0.667468953435861,-0.430029446185843,1.53418943391016,0.126332800470357,0.383442260088599,-4.89552645845465
6233,0.701695095435897,-0.372381876430445,1.60822403415643,0.109133301956898,0.35858679757833,-4.78694965507074
6234,0.759818705277837,-0.382441251974197,1.64761495006329,0.10077264947238,0.346409338926346,-4.72714336743638
6235,0.143065213728937,-0.405297951104606,0.293889682767316,0.769102483877076,0.900735657300825,-5.95967778757423
6236,-0.54456731226131,-0.575339439051883,-1.03478693057419,0.301835709260725,0.589568865537165,-5.49632407667193
6237,-0.684434210476905,-0.707592144629977,-1.35116116340028,0.177947596167957,0.451043261383885,-5.14241268853754
6238,-0.668659732083132,-0.811386175294932,-1.41541300897189,0.158275783654291,0.427817904309396,-5.05924598959119
6239,-0.872285159978037,-0.790575197641454,-1.90856807609236,0.0575404036347683,0.263543691990127,-4.29541670599386
6240,-0.306210144521333,-0.633561619350453,-0.696924323918522,0.4865413209816,0.736137360557543,-5.77146747050602
6241,0.0878726050231982,-0.497971576823611,0.205697647326474,0.837205779779864,0.935879565870222,-5.98046446666152
6242,0.302796327048629,-0.390226119360955,0.746630492043899,0.456035473309721,0.715375731336493,-5.73768510415608
6243,0.502792853811558,-0.352342656059323,1.29675229774846,0.195992558160136,0.474159170748092,-5.20986689001972
6244,0.0354697358442432,-0.298219779353394,0.0836135247063324,0.933435135960133,0.974934796656145,-5.99713105593608
